Timestamp; Verbosity; Runtime; Log Name; Miner Type; Opt type; Opt Parameters; Metrics type; Optimal solution
[2024_08_01 - 19:40:03];0;164.03303694725037;BPI_Challenge_2013_closed_problems.xes;heuristic;NSGA-II;{'population_size': 100, 'offspring_population_size': 100, 'mutation': {'probability': 0.16666666666666666, 'distribution_index': 20}, 'crossover': {'probability': 1.0, 'distribution_index': 20}, 'termination_criterion': {'max_evaluations': 10000, 'evaluations': 10000}};basic;[0.20657353152597346, 0.6618800184901006, 3734, 684, 0.7388551427314787, 0.06821777586820832]
[2024_08_01 - 19:46:39];0;626.2088575363159;BPI_Challenge_2012.xes;heuristic;NSGA-II;{'population_size': 100, 'offspring_population_size': 100, 'mutation': {'probability': 0.16666666666666666, 'distribution_index': 20}, 'crossover': {'probability': 1.0, 'distribution_index': 20}, 'termination_criterion': {'max_evaluations': 1000, 'evaluations': 1000}};basic;[0.5311386427744929, 0.5458786495172191, 54126, 119, 0.7225230022248142, 0.09375246426568185]
[2024_08_01 - 19:58:56];0;6364.124368190765;BPI_Challenge_2012.xes;heuristic;NSGA-II;{'population_size': 100, 'offspring_population_size': 100, 'mutation': {'probability': 0.16666666666666666, 'distribution_index': 20}, 'crossover': {'probability': 1.0, 'distribution_index': 20}, 'termination_criterion': {'max_evaluations': 10000, 'evaluations': 10000}};basic;[0.2959611630273391, 0.5715318046886804, 54663, 673, 0.6803859595505409, 0.5544315514314788]
[2024_08_01 - 21:58:22];0;1.7046723365783691;BPI_Challenge_2013_closed_problems.xes;heuristic;NSGA-II;{'population_size': 100, 'offspring_population_size': 100, 'mutation': [<class 'jmetal.operator.mutation.PolynomialMutation'>, {'probability': 0.16666666666666666, 'distribution_index': 20}], 'crossover': [<class 'jmetal.operator.crossover.SBXCrossover'>, {'probability': 1.0, 'distribution_index': 20}], 'termination_criterion': [<class 'jmetal.util.termination_criterion.StoppingByEvaluations'>, {'max_evaluations': 100, 'evaluations': 100}]};basic;[0.2538804573206006, 0.83451212091016, 3135, 328, 0.35604111097944613, 0.2608876865068117]
[2024_08_05 - 12:32:45];0;3.3820722103118896;BPI_Challenge_2013_closed_problems.xes;heuristic;NSGA-II;{'population_size': 100, 'offspring_population_size': 100, 'mutation': [<class 'jmetal.operator.mutation.PolynomialMutation'>, {'probability': 0.16666666666666666, 'distribution_index': 20}], 'crossover': [<class 'jmetal.operator.crossover.SBXCrossover'>, {'probability': 1.0, 'distribution_index': 20}], 'termination_criterion': [<class 'jmetal.util.termination_criterion.StoppingByEvaluations'>, {'max_evaluations': 100, 'evaluations': 100}]};basic;[0.6784857627587759, 0.5837279574911823, 3259, 292, 0.7254214064862087, 0.45514586578059035]
[2024_08_10 - 12:26:38];0;2.048456907272339;BPI_Challenge_2013_closed_problems.xes;heuristic;NSGA-II;{'population_size': 100, 'offspring_population_size': 100, 'mutation': [<class 'jmetal.operator.mutation.PolynomialMutation'>, {'probability': 0.16666666666666666, 'distribution_index': 20}], 'crossover': [<class 'jmetal.operator.crossover.SBXCrossover'>, {'probability': 1.0, 'distribution_index': 20}], 'termination_criterion': [<class 'jmetal.util.termination_criterion.StoppingByEvaluations'>, {'max_evaluations': 100, 'evaluations': 100}]};basic;[0.6008563132824686, 0.570817052987792, 3304, 394, 0.8937044929613749, 0.10587176660542397]
[2024_08_10 - 12:32:12];0;2.2594659328460693;BPI_Challenge_2013_closed_problems.xes;heuristic;NSGA-II;{'population_size': 100, 'offspring_population_size': 100, 'mutation': [<class 'jmetal.operator.mutation.PolynomialMutation'>, {'probability': 0.16666666666666666, 'distribution_index': 20}], 'crossover': [<class 'jmetal.operator.crossover.SBXCrossover'>, {'probability': 1.0, 'distribution_index': 20}], 'termination_criterion': [<class 'jmetal.util.termination_criterion.StoppingByEvaluations'>, {'max_evaluations': 100, 'evaluations': 100}]};basic;[0.7821939331047896, 0.793154982474709, 2387, 39, 0.20834360128869212, 0.9163991623940666]
[2024_08_10 - 12:32:58];0;1.725294589996338;BPI_Challenge_2013_closed_problems.xes;heuristic;NSGA-II;{'population_size': 100, 'offspring_population_size': 100, 'mutation': [<class 'jmetal.operator.mutation.PolynomialMutation'>, {'probability': 0.16666666666666666, 'distribution_index': 20}], 'crossover': [<class 'jmetal.operator.crossover.SBXCrossover'>, {'probability': 1.0, 'distribution_index': 20}], 'termination_criterion': [<class 'jmetal.util.termination_criterion.StoppingByEvaluations'>, {'max_evaluations': 100, 'evaluations': 100}]};basic;[0.47994562834713306, 0.5708513623803598, 3257, 764, 0.1560969800656764, 0.4690638394812455]
[2024_08_10 - 12:35:04];0;1.6441898345947266;BPI_Challenge_2013_closed_problems.xes;heuristic;NSGA-II;{'population_size': 100, 'offspring_population_size': 100, 'mutation': [<class 'jmetal.operator.mutation.PolynomialMutation'>, {'probability': 0.16666666666666666, 'distribution_index': 20}], 'crossover': [<class 'jmetal.operator.crossover.SBXCrossover'>, {'probability': 1.0, 'distribution_index': 20}], 'termination_criterion': [<class 'jmetal.util.termination_criterion.StoppingByEvaluations'>, {'max_evaluations': 100, 'evaluations': 100}]};basic;[0.15884946352831686, 0.19191021424361443, 2296, 905, 0.2522621749021984, 0.5737064273010353]
[2024_08_10 - 12:38:04];0;1.6265246868133545;BPI_Challenge_2013_closed_problems.xes;heuristic;NSGA-II;{'population_size': 100, 'offspring_population_size': 100, 'mutation': [<class 'jmetal.operator.mutation.PolynomialMutation'>, {'probability': 0.16666666666666666, 'distribution_index': 20}], 'crossover': [<class 'jmetal.operator.crossover.SBXCrossover'>, {'probability': 1.0, 'distribution_index': 20}], 'termination_criterion': [<class 'jmetal.util.termination_criterion.StoppingByEvaluations'>, {'max_evaluations': 100, 'evaluations': 100}]};basic;[0.1398705724235375, 0.5548696200834672, 2801, 255, 0.7167328987099849, 0.38457911265323474]
[2024_08_10 - 12:38:51];0;2.2669644355773926;BPI_Challenge_2013_closed_problems.xes;heuristic;NSGA-II;{'population_size': 100, 'offspring_population_size': 100, 'mutation': [<class 'jmetal.operator.mutation.PolynomialMutation'>, {'probability': 0.16666666666666666, 'distribution_index': 20}], 'crossover': [<class 'jmetal.operator.crossover.SBXCrossover'>, {'probability': 1.0, 'distribution_index': 20}], 'termination_criterion': [<class 'jmetal.util.termination_criterion.StoppingByEvaluations'>, {'max_evaluations': 100, 'evaluations': 100}]};basic;[0.15225417927955254, 0.27626624828488944, 20, 143, 0.740124351695873, 0.6795612165702123]
